CHROMOSOME	START_POS	END_POS	STRAND	GENE	OVERLAP
chr1	2398897	2436969	+	PLCH2	N
chr1	2439969	2458067	-	PANK4	N
chr1	2460183	2461684	-	HES5	N
chr1	2481358	2488450	-	LOC115110	Y
chr1	2487803	2497061	+	TNFRSF14	Y
chr1	2497973	2515973	+	LOC100996583	N
chr1	2517898	2522908	+	FAM213B	Y
chr1	2522080	2564481	-	MMEL1	Y
chr1	2572806	2706230	-	TTC34	N
chr1	2938045	2939467	+	ACTRT2	N
chr1	2976180	2984289	-	LINC00982	N
chr1	2985741	3355185	+	PRDM16	Y
chr1	3044538	3044599	+	MIR4251	Y
chr1	3371146	3397677	+	ARHGEF16	N
chr1	3404505	3528059	-	MEGF6	Y
chr1	3477259	3477354	-	MIR551A	Y
chr1	3541555	3546694	+	TPRG1L	N
chr1	3547330	3566671	-	WRAP73	N
chr1	3569128	3652765	+	TP73	Y
chr1	3652547	3663937	-	TP73-AS1	Y
chr1	3668964	3688209	+	CCDC27	N
chr1	3689324	3692546	+	SMIM1	N
chr1	3696783	3713068	-	LRRC47	N
chr1	3728644	3773797	-	CEP104	N
chr1	3773830	3801993	+	DFFB	N
chr1	3805696	3816857	-	C1orf174	N
chr1	3816967	3832011	+	LINC01134	N
chr1	4000671	4012643	+	LINC01346	N
chr1	4472110	4484744	+	LOC284661	N
chr1	4715104	4843851	+	AJAP1	N
chr1	5624130	5624203	+	MIR4417	N
chr1	5922731	5922801	-	MIR4689	N
chr1	5922867	6052533	-	NPHP4	Y
chr1	6052357	6161253	+	KCNAB2	Y
chr1	6161846	6240194	-	CHD5	N
chr1	6245079	6259679	-	RPL22	N
chr1	6264899	6265840	-	LOC102724450	N
chr1	6266188	6281359	+	RNF207	Y
chr1	6281252	6296044	-	ICMT	Y
chr1	6296299	6299502	+	LINC00337	N
chr1	6304251	6305638	+	HES3	N
chr1	6307405	6321035	-	GPR153	N
chr1	6324331	6453826	-	ACOT7	N
chr1	6475293	6479979	-	HES2	N
chr1	6484847	6521004	+	ESPN	Y
chr1	6489893	6489956	-	MIR4252	Y
chr1	6521213	6526255	-	TNFRSF25	Y
chr1	6526151	6580121	-	PLEKHG5	Y
chr1	6581406	6614658	-	NOL9	N
chr1	6615337	6639817	+	TAS1R1	N
chr1	6640050	6649340	+	ZBTB48	N
chr1	6650783	6662958	-	KLHL21	N
chr1	6673755	6684093	+	PHF13	N
chr1	6684924	6695646	+	THAP3	Y
chr1	6694227	6761966	-	DNAJC11	Y
chr1	6784804	6790072	+	LOC100505887	N
chr1	6845383	7829766	+	CAMTA1	N
chr1	7831328	7841492	+	VAMP3	N
chr1	7844488	7905240	+	PER3	N
chr1	7907671	7913551	-	UTS2	N
chr1	7975930	8003225	-	TNFRSF9	N
chr1	8021713	8045342	+	PARK7	N
chr1	8071778	8086393	-	ERRFI1	N
chr1	8268731	8275268	+	LOC102724539	N
chr1	8378144	8404227	+	SLC45A1	N
chr1	8412463	8877699	-	RERE	Y
chr1	8484704	8495076	+	LOC102724552	Y
chr1	8554859	8554973	-	SNORD128	Y
chr1	8921058	8939151	-	ENO1	Y
chr1	8926560	8926649	-	MIR6728	Y
chr1	8938893	8939943	+	ENO1-AS1	Y
chr1	9005892	9035148	+	CA6	N
chr1	9063358	9086404	-	SLC2A7	N
chr1	9097004	9132286	-	SLC2A5	N
chr1	9164475	9189229	-	GPR157	N
chr1	9208069	9242397	-	MIR34AHG	Y
chr1	9211726	9211836	-	MIR34A	Y
chr1	9242262	9252144	+	LOC102724571	Y
chr1	9294862	9331394	+	H6PD	N
chr1	9352940	9429590	+	SPSB1	N
chr1	9485152	9489055	-	LOC100506022	N
chr1	9599527	9642831	+	SLC25A33	N
chr1	9648931	9674935	+	TMEM201	N
chr1	9711789	9789172	+	PIK3CD	Y
chr1	9712667	9714644	-	PIK3CD-AS1	Y
chr1	9732483	9747632	-	PIK3CD-AS2	Y
chr1	9789078	9884584	-	CLSTN1	Y
chr1	9908333	9970316	-	CTNNBIP1	N
chr1	9982170	10003485	-	LZIC	Y
chr1	10002980	10045556	+	NMNAT1	Y
chr1	10027438	10027516	+	MIR5697	Y
chr1	10057254	10076078	+	RBP7	N
chr1	10093040	10241296	+	UBE4B	N
chr1	10270763	10441661	+	KIF1B	Y
chr1	10359023	10359128	+	RNU6-2	Y
chr1	10459048	10480568	+	PGD	N
chr1	10490158	10502872	+	APITD1	Y
chr1	10490158	10512060	+	APITD1-CORT	Y
chr1	10509775	10512060	+	CORT	Y
chr1	10520602	10532613	-	DFFA	N
chr1	10535002	10690815	+	PEX14	N
chr1	10696665	10856733	-	CASZ1	N
chr1	11006529	11042094	-	C1orf127	N
chr1	11072678	11085549	+	TARDBP	N
chr1	11086579	11107296	-	MASP2	N
chr1	11114648	11120091	-	SRM	N
chr1	11126669	11159967	-	EXOSC10	Y
chr1	11159731	11162162	+	LOC105376736	Y
chr1	11166587	11322608	-	MTOR	Y
chr1	11203954	11209595	+	MTOR-AS1	Y
chr1	11249345	11256038	+	ANGPTL7	Y
chr1	11333254	11348491	+	UBIAD1	N
chr1	11539294	11597640	+	DISP3	N
chr1	11669587	11673411	+	LOC101929181	N
chr1	11708417	11714888	-	FBXO2	Y
chr1	11714431	11723384	+	FBXO44	Y
chr1	11724149	11734409	+	FBXO6	N
chr1	11734536	11751678	-	MAD2L2	N
chr1	11751780	11780336	+	DRAXIN	N
chr1	11796141	11810828	+	AGTRAP	N
chr1	11822249	11849642	+	C1orf167	Y
chr1	11837133	11839676	-	LOC102724659	Y
chr1	11845786	11866160	-	MTHFR	Y
chr1	11866152	11903201	+	CLCN6	Y
chr1	11900375	11907673	+	NPPA-AS1	Y
chr1	11905766	11907840	-	NPPA	Y
chr1	11917520	11918992	-	NPPB	N
chr1	11979644	11986485	-	KIAA2013	N
chr1	11994723	12035599	+	PLOD1	N
chr1	12040237	12073572	+	MFN2	N
chr1	12079298	12092106	+	MIIP	Y
chr1	12089214	12089279	+	MIR6729	Y
chr1	12123433	12204264	+	TNFRSF8	N
chr1	12226999	12227095	+	MIR7846	Y
chr1	12227059	12269277	+	TNFRSF1B	Y
chr1	12251769	12251830	+	MIR4632	Y
chr1	12290095	12572098	+	VPS13D	Y
chr1	12567299	12567451	+	SNORA59A	Y
chr1	12567299	12567451	+	SNORA59B	Y
chr1	12627938	12677737	-	DHRS3	Y
chr1	12638984	12639051	-	MIR6730	Y
chr1	12704565	12727097	+	AADACL4	N
chr1	12776117	12788726	+	AADACL3	N
chr1	12806133	12821102	+	C1orf158	N
chr1	12834990	12838048	+	PRAMEF12	N
chr1	12851545	12856777	+	PRAMEF1	N
chr1	12884617	12891264	-	PRAMEF11	N
chr1	12907229	12908157	-	HNRNPCL4	Y
chr1	12907229	12908235	-	HNRNPCL3	Y
chr1	12907229	12908609	-	HNRNPCL1	Y
chr1	12916940	12921764	+	PRAMEF2	N
chr1	12939032	12946025	-	PRAMEF4	N
chr1	12976466	12980300	+	PRAMEF8	Y
chr1	12976466	12980300	+	PRAMEF7	Y
chr1	12998301	13007406	-	PRAMEF6	Y
chr1	12998504	13002353	-	PRAMEF9	Y
chr1	12998504	13002353	-	PRAMEF27	Y
chr1	13035498	13039011	+	PRAMEF18	Y
chr1	13035542	13038381	+	PRAMEF22	Y
chr1	13052239	13112702	-	PRAMEF25	Y
chr1	13052393	13112702	-	PRAMEF26	Y
chr1	13108513	13117751	-	PRAMEF5	Y
chr1	13161985	13167193	-	PRAMEF36P	Y
chr1	13161985	13167193	-	PRAMEF34P	Y
chr1	13182959	13184326	-	HNRNPCL2	N
chr1	13328195	13698405	-	PRAMEF18	Y
chr1	13359818	13369057	+	PRAMEF5	Y
chr1	13359832	13368936	+	PRAMEF6	Y
chr1	13386914	13611533	-	PRAMEF8	Y
chr1	13386914	13611533	-	PRAMEF7	Y
chr1	13409127	13635299	+	PRAMEF10	Y
chr1	13409134	13635299	+	PRAMEF33P	Y
chr1	13421175	13648987	+	PRAMEF15	Y
chr1	13447413	13673511	-	PRAMEF14	Y
chr1	13447413	13673511	-	PRAMEF13	Y
chr1	13474052	13698405	-	PRAMEF19	Y
chr1	13495257	13719089	+	PRAMEF17	Y
chr1	13516065	13747803	+	PRAMEF20	Y
chr1	13801444	13840242	-	LRRC38	N
chr1	13910251	13944452	+	PDPN	N
chr1	14026734	14151574	+	PRDM2	N
chr1	14925212	15444544	+	KAZN	Y
chr1	15438310	15478960	-	TMEM51-AS1	Y
chr1	15479027	15546976	+	TMEM51	Y
chr1	15490691	15498120	-	C1orf195	Y
chr1	15573767	15724622	+	FHAD1	N
chr1	15736390	15756839	+	EFHD2	N
chr1	15764937	15773153	+	CTRC	N
chr1	15783222	15798586	+	CELA2A	N
chr1	15802595	15817895	+	CELA2B	Y
chr1	15817895	15851285	-	CASP9	Y
chr1	15853307	15898228	+	DNAJC16	Y
chr1	15898193	15911605	-	AGMAT	Y
chr1	15943952	15987552	+	DDI2	Y
chr1	15986207	15988525	+	RSC1A1	Y
chr1	16010826	16061264	+	PLEKHM2	N
chr1	16062808	16067887	+	SLC25A34	N
chr1	16068986	16074292	+	TMEM82	N
chr1	16085254	16113084	+	FBLIM1	N
chr1	16133656	16134194	-	UQCRHL	N
chr1	16160709	16174642	-	FLJ37453	Y
chr1	16174358	16266950	+	SPEN	Y
chr1	16197643	16231962	+	MIR5096	Y
chr1	16268363	16302627	-	ZBTB17	N
chr1	16330730	16333190	+	C1orf64	N
chr1	16340522	16345285	-	HSPB7	N
chr1	16348485	16360545	+	CLCNKA	N
chr1	16370230	16383821	+	CLCNKB	N
chr1	16384263	16400127	-	FAM131C	N
chr1	16450831	16482582	-	EPHA2	N
chr1	16524598	16539104	-	ARHGEF19	N
chr1	16558181	16563659	-	RSG1	N
chr1	16573334	16678986	-	FBXO42	N
chr1	16693524	16724643	+	SZRD1	N
chr1	16725137	16763919	-	SPATA21	N
chr1	16767166	16786584	+	NECAP2	N
chr1	16793930	16819196	-	CROCCP3	N
chr1	16860336	16863483	-	LOC440570	Y
chr1	16860385	16862147	-	LOC100132147	Y
chr1	16865218	16866530	+	FAM231B	N
chr1	16875408	16875482	+	MIR3675	N
chr1	16888921	16940100	-	NBPF1	N
chr1	16944750	16957401	-	CROCCP2	N
chr1	16972068	16976915	+	MST1P2	N
chr1	16999497	17000007	+	FAM231A	Y
chr1	16999497	17000152	+	FAM231C	Y
chr1	17017712	17046652	-	ESPNP	N
chr1	17060301	17060956	-	FAM231C	N
chr1	17081128	17090975	-	MST1L	Y
chr1	17083555	17086552	-	LOC102724562	Y
chr1	17215032	17216161	-	LOC105376805	N
chr1	17248444	17299474	+	CROCC	N
chr1	17300998	17308081	-	MFAP2	N
chr1	17312452	17338467	-	ATP13A2	N
chr1	17345224	17380665	-	SDHB	N
chr1	17393255	17445948	-	PADI2	N
chr1	17531620	17572501	+	PADI1	N
chr1	17575592	17610727	+	PADI3	Y
chr1	17604383	17604470	+	MIR3972	Y
chr1	17634689	17690495	+	PADI4	N
chr1	17698690	17728195	+	PADI6	N
chr1	17733250	17766250	-	RCC2	N
chr1	17866329	18024370	+	ARHGEF10L	N
chr1	18081807	18153558	+	ACTL8	N
chr1	18392150	18400905	+	LOC101927876	N
chr1	18434239	18704977	+	IGSF21	N
chr1	18807423	18812480	+	KLHDC7A	N
chr1	18957499	19075360	+	PAX7	N
chr1	19166092	19186155	-	TAS1R2	N
chr1	19197923	19229293	-	ALDH4A1	Y
chr1	19209695	19209769	-	MIR4695	Y
chr1	19223564	19223642	-	MIR1290	Y
chr1	19230773	19282826	-	IFFO2	N
chr1	19400999	19536746	-	UBR4	N
chr1	19536879	19567198	+	LOC101927895	Y
chr1	19542157	19578053	-	EMC1	Y
chr1	19578074	19586622	+	MRTO4	N
chr1	19592475	19600568	-	AKR7L	N
chr1	19609056	19615280	-	AKR7A3	N
chr1	19619740	19622230	-	LOC100506730	N
chr1	19629201	19638640	-	AKR7A2	N
chr1	19638739	19658922	+	PQLC2	N
chr1	19665266	19812135	-	CAPZB	N
chr1	19918295	19923326	-	LOC105378614	N
chr1	19923470	19956315	+	MINOS1	Y
chr1	19923470	19984949	+	MINOS1-NBL1	Y
chr1	19934300	19935138	+	RPS14P3	Y
chr1	19969722	19984949	+	NBL1	Y
chr1	19991779	20007459	+	HTR6	N
chr1	20008705	20126410	-	TMCO4	N
chr1	20140521	20141771	-	RNF186	N
chr1	20208887	20239437	+	OTUD3	N
chr1	20246799	20250110	-	PLA2G2E	N
chr1	20301923	20306932	-	PLA2G2A	N
chr1	20396700	20418394	+	PLA2G5	N
chr1	20439142	20446059	-	PLA2G2D	N
chr1	20465822	20476879	+	PLA2G2F	N
chr1	20489584	20503857	-	PLA2G2C	N
chr1	20510735	20512979	-	UBXN10-AS1	Y
chr1	20512570	20522541	+	UBXN10	Y
chr1	20617411	20681387	+	VWA5B1	N
chr1	20686293	20755287	-	LINC01141	N
chr1	20808883	20812728	-	CAMK2N1	N
chr1	20825940	20834674	-	MUL1	N
chr1	20878931	20881513	+	FAM43B	N
chr1	20915443	20945400	+	CDA	N
chr1	20959947	20978004	+	PINK1	Y
chr1	20960171	20960281	+	MIR6084	Y
chr1	20969149	20978686	-	PINK1-AS	Y
chr1	20978259	20988037	-	DDOST	Y
chr1	20990506	21044510	-	KIF17	N
chr1	21046224	21059133	-	SH2D5	N
chr1	21069170	21113181	-	HP1BP3	N
chr1	21132784	21503381	-	EIF4G3	Y
chr1	21314806	21314925	-	MIR1256	Y
chr1	21543739	21672034	-	ECE1	Y
chr1	21619782	21626362	+	LOC100506801	Y
chr1	21766582	21811393	+	NBPF3	N
chr1	21835850	21904905	+	ALPL	N
chr1	21922707	21995856	-	RAP1GAP	N
chr1	22004791	22109688	-	USP48	N
chr1	22138757	22151714	+	LDLRAD2	Y
chr1	22148724	22263790	-	HSPG2	Y
chr1	22303386	22315847	+	CELA3B	N
chr1	22328148	22339035	+	CELA3A	N
chr1	22350486	22352541	-	LOC101928043	Y
chr1	22351683	22357717	+	LINC00339	Y
chr1	22379119	22419436	+	CDC42	N
chr1	22443797	22469519	-	WNT4	N
chr1	22592731	22592793	+	MIR4418	N
chr1	22778343	22857650	+	ZBTB40	N
chr1	22890003	22930087	+	EPHA8	N
chr1	22959750	22959859	-	MIR6127	N
chr1	22963117	22966175	+	C1QA	N
chr1	22970117	22974603	+	C1QC	N
chr1	22979681	22988029	+	C1QB	N
chr1	23037330	23247993	+	EPHB2	Y
chr1	23046009	23046091	+	MIR4684	Y
chr1	23189651	23189719	-	MIR4253	Y
chr1	23279535	23291923	-	LACTBL1	N
chr1	23337326	23342343	-	C1orf234	N
chr1	23345940	23410184	+	KDM1A	Y
chr1	23370797	23370865	+	MIR3115	Y
chr1	23384350	23384427	-	MIR4419A	Y
chr1	23410515	23495351	-	LUZP1	N
chr1	23518387	23521222	-	HTR1D	N
chr1	23607801	23612011	-	LINC01355	N
chr1	23631180	23670857	-	HNRNPR	N
chr1	23685940	23696357	-	ZNF436	Y
chr1	23695463	23698330	+	ZNF436-AS1	Y
chr1	23707401	23751272	-	TCEA3	N
chr1	23755055	23810750	-	ASAP3	N
chr1	23832919	23857712	-	E2F2	Y
chr1	23848421	23854911	+	LOC101928163	Y
chr1	23884420	23886285	-	ID3	N
chr1	23953823	23967056	+	MDS2	N
chr1	24018268	24022915	+	RPL11	N
chr1	24069855	24088549	+	TCEB3	Y
chr1	24086871	24104787	-	TCEB3-AS1	Y
chr1	24104875	24114722	+	PITHD1	N
chr1	24117645	24122029	+	LYPLA2	N
chr1	24122088	24127294	-	GALE	N
chr1	24128366	24151949	-	HMGCL	N
chr1	24171571	24194859	-	FUCA1	N
chr1	24200459	24239817	-	CNR2	N
chr1	24255559	24255637	+	MIR378F	N
chr1	24286300	24289949	+	PNRC2	N
chr1	24290836	24306953	-	SRSF10	N
chr1	24382530	24438665	-	MYOM3	N
chr1	24446260	24469775	-	IL22RA1	N
chr1	24480646	24513765	-	IFNLR1	N
chr1	24526729	24538180	+	LOC284632	N
chr1	24645811	24690970	+	GRHL3	Y
chr1	24683488	24741587	-	STPG1	Y
chr1	24739976	24799473	+	NIPAL3	Y
chr1	24822822	24828850	-	RCAN3AS	Y
chr1	24828840	24863510	+	RCAN3	Y
chr1	24865763	24882515	-	LOC100506985	N
chr1	24882566	24935818	+	NCMAP	N
chr1	24969593	24999772	+	SRRM1	N
chr1	25071759	25170815	+	CLIC4	N
chr1	25226001	25291501	-	RUNX3	Y
chr1	25245835	25245907	-	MIR6731	Y
chr1	25349993	25350077	+	MIR4425	N
chr1	25548766	25559013	-	SYF2	N
chr1	25568727	25664745	-	RSRP1	Y
chr1	25598976	25656936	+	RHD	Y
chr1	25664788	25688852	+	TMEM50A	Y
chr1	25688739	25747363	-	RHCE	Y
chr1	25757348	25826698	+	TMEM57	N
chr1	25870075	25895377	+	LDLRAP1	N
chr1	25943958	26112698	+	MAN1C1	N
chr1	26126666	26144713	+	SEPN1	N
chr1	26146396	26159433	+	MTFR1L	Y
chr1	26146444	26150097	-	LOC646471	Y
chr1	26158403	26185949	-	AUNIP	Y
chr1	26187974	26197744	-	PAQR7	N
chr1	26210676	26233368	-	STMN1	Y
chr1	26232852	26232945	-	MIR3917	Y
chr1	26286257	26324648	-	PAFAH2	N
chr1	26348270	26362954	+	EXTL1	N
chr1	26364512	26372629	-	SLC30A2	N
chr1	26377795	26394125	-	TRIM63	N
chr1	26437655	26452039	+	PDIK1L	N
chr1	26485510	26489119	+	FAM110D	N
chr1	26496387	26497364	+	ZNF593	N
chr1	26503980	26516376	+	CNKSR1	N
chr1	26517118	26529033	+	CATSPER4	N
chr1	26551810	26556331	+	LOC101928303	N
chr1	26560643	26605301	+	CEP85	N
chr1	26606212	26608013	+	SH3BGRL3	N
chr1	26608772	26644756	-	UBXN11	Y
chr1	26644410	26647014	+	CD52	Y
chr1	26648349	26680621	-	AIM1L	N
chr1	26688124	26699285	-	ZNF683	N
chr1	26737258	26756219	+	LIN28A	N
chr1	26758772	26797795	+	DHDDS	Y
chr1	26789247	26794028	-	LOC101928324	Y
chr1	26798901	26803133	+	HMGN2	N
chr1	26856248	26901520	+	RPS6KA1	Y
chr1	26881032	26881084	+	MIR1976	Y
chr1	27018400	27020622	-	LOC101928728	N
chr1	27022521	27108601	+	ARID1A	N
chr1	27114453	27124894	+	PIGV	N
chr1	27153200	27182211	+	ZDHHC18	N
chr1	27189632	27190947	+	SFN	N
chr1	27205872	27216869	-	GPN2	N
chr1	27216978	27226962	-	GPATCH3	N
chr1	27237974	27240567	-	NR0B2	N
chr1	27248212	27273362	+	NUDC	N
chr1	27276046	27286901	-	KDF1	N
chr1	27320194	27327377	+	TRNP1	N
chr1	27331510	27339333	-	FAM46B	N
chr1	27425299	27481621	-	SLC9A1	N
chr1	27561006	27635124	+	WDTC1	N
chr1	27648635	27662891	+	TMEM222	Y
chr1	27650364	27653016	+	ACTG1P20	Y
chr1	27668482	27680423	+	SYTL1	N
chr1	27681669	27693357	-	MAP3K6	N
chr1	27695600	27701315	-	FCN3	N
chr1	27705589	27709823	-	CD164L2	N
chr1	27719147	27722317	+	GPR3	N
chr1	27730729	27816698	-	WASF2	N
chr1	27860755	27930005	-	AHDC1	N
chr1	27938800	27961727	-	FGR	N
chr1	27992571	27998724	-	IFI6	N
chr1	28052489	28089423	+	FAM76A	N
chr1	28099693	28150963	+	STX12	N
chr1	28157251	28178183	+	PPP1R8	Y
chr1	28160911	28161077	+	SCARNA1	Y
chr1	28199053	28213196	+	THEMIS2	N
chr1	28218035	28241308	-	RPA2	N
chr1	28261465	28285668	+	SMPDL3B	N
chr1	28285972	28294607	+	XKR8	N
chr1	28296854	28415148	-	EYA3	N
chr1	28473676	28520447	-	PTAFR	N
chr1	28526789	28559542	-	DNAJC8	N
chr1	28562601	28564616	+	ATPIF1	N
chr1	28585962	28609002	+	SESN2	N
chr1	28655512	28662478	+	MED18	N
chr1	28696092	28826881	+	PHACTR4	N
chr1	28832454	28837404	+	SNHG3	Y
chr1	28832454	28865708	+	RCC1	Y
chr1	28835069	28835227	+	SNORA73B	Y
chr1	28879528	28905057	+	TRNAU1AP	Y
chr1	28905049	28908366	-	SNHG12	Y
chr1	28905254	28905334	-	SNORD99	Y
chr1	28906275	28906405	-	SNORA61	Y
chr1	28906892	28907024	-	SNORA44	Y
chr1	28907431	28907565	-	SNORA16A	Y
chr1	28918711	28921088	+	RAB42	N
chr1	28929608	28969604	-	TAF12	N
chr1	28975111	28975246	+	RNU11	N
chr1	28995239	29042115	+	GMEB1	N
chr1	29063132	29096287	+	YTHDF2	N
chr1	29138653	29190208	+	OPRD1	N
chr1	29213602	29446558	+	EPB41	Y
chr1	29445936	29450421	-	TMEM200B	Y
chr1	29474249	29508637	-	SRSF4	N
chr1	29519168	29557470	-	MECR	N
chr1	29563027	29653325	+	PTPRU	N
chr1	29656131	29676626	-	LOC101928460	N
chr1	30486798	30510459	-	LOC101929406	N
chr1	31184123	31196432	-	MATN1	Y
chr1	31191618	31199593	+	MATN1-AS1	Y
chr1	31205314	31230683	-	LAPTM5	Y
chr1	31212002	31212079	-	MIR4420	Y
chr1	31342312	31381480	-	SDC3	N
chr1	31404352	31538564	-	PUM1	Y
chr1	31408535	31408623	-	SNORD103B	Y
chr1	31408535	31408623	-	SNORD103A	Y
chr1	31441009	31441084	-	SNORD103C	Y
chr1	31652591	31712734	-	NKAIN1	N
chr1	31732414	31769644	-	SNRNP40	N
chr1	31769828	31837800	+	ZCCHC17	N
chr1	31838099	31846135	-	FABP3	N
chr1	31882411	31907527	+	SERINC2	N
chr1	31971838	31974167	+	LINC01225	N
chr1	31984035	31989846	+	LINC01226	N
chr1	32042085	32053287	+	TINAGL1	N
chr1	32083300	32092919	+	HCRTR1	N
chr1	32095462	32110838	-	PEF1	N
chr1	32117847	32169768	-	COL16A1	N
chr1	32192705	32229664	-	ADGRB2	Y
chr1	32224260	32224336	-	MIR4254	Y
chr1	32256022	32281652	-	SPOCD1	N
chr1	32372021	32403988	-	PTP4A2	N
chr1	32479294	32526460	+	KHDRBS1	N
chr1	32537631	32568467	+	TMEM39B	Y
chr1	32552549	32552608	+	MIR5585	Y
chr1	32573643	32642168	+	KPNA6	N
chr1	32645344	32663886	+	TXLNA	N
chr1	32665986	32670991	+	CCDC28B	N
chr1	32671235	32674288	+	IQCC	N
chr1	32674694	32681797	+	DCDC2B	Y
chr1	32680077	32687972	-	TMEM234	Y
chr1	32687184	32697205	+	EIF3I	Y
chr1	32697260	32707311	-	MTMR9LP	N
chr1	32712817	32714461	+	FAM167B	N
chr1	32716839	32751768	+	LCK	N
chr1	32757707	32799224	+	HDAC1	N
chr1	32799429	32801840	-	MARCKSL1	N
chr1	32826870	32827844	-	FAM229A	N
chr1	32827861	32829924	+	TSSK3	N
chr1	32830233	32860062	-	BSDC1	N
chr1	32930657	32953459	+	ZBTB8B	N
chr1	33004745	33071551	+	ZBTB8A	N
chr1	33086816	33116191	-	ZBTB8OS	N
chr1	33116748	33151812	+	RBBP4	Y
chr1	33145506	33168361	-	SYNC	Y
chr1	33207511	33240571	+	KIAA1522	N
chr1	33240839	33283633	-	YARS	Y
chr1	33283042	33324480	+	S100PBP	Y
chr1	33327868	33338093	-	FNDC5	N
chr1	33352097	33360247	+	HPCA	Y
chr1	33360195	33366953	-	TMEM54	Y
chr1	33402046	33430414	-	RNF19B	N
chr1	33473540	33502512	-	AK2	N
chr1	33546713	33586132	+	AZIN2	N
chr1	33611002	33647671	-	TRIM62	N
chr1	33722173	33766320	+	ZNF362	N
